Timeline Report

Created,"Created: 18/02/2026 at 19:14:23"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"08/12/2025"
To,"08/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Mon 08/12/2025 00:30,"0",
Mon 08/12/2025 01:00,"0",
Mon 08/12/2025 01:30,"0",
Mon 08/12/2025 02:00,"0",
Mon 08/12/2025 02:30,"0",
Mon 08/12/2025 03:00,"0",
Mon 08/12/2025 03:30,"0",
Mon 08/12/2025 04:00,"0",
Mon 08/12/2025 04:30,"0",
Mon 08/12/2025 05:00,"0",
Mon 08/12/2025 05:30,"0",
Mon 08/12/2025 06:00,"0",
Mon 08/12/2025 06:30,"0",
Mon 08/12/2025 07:00,"0",
Mon 08/12/2025 07:30,"0",
Mon 08/12/2025 08:00,"0",
Mon 08/12/2025 08:30,"0",
Mon 08/12/2025 09:00,"0",
Mon 08/12/2025 09:30,"0",
Mon 08/12/2025 10:00,"0",
Mon 08/12/2025 10:30,"0",
Mon 08/12/2025 11:00,"0",
Mon 08/12/2025 11:30,"0",
Mon 08/12/2025 12:00,"0",
Mon 08/12/2025 12:30,"0",
Mon 08/12/2025 13:00,"0",
Mon 08/12/2025 13:30,"66.24",
Mon 08/12/2025 14:00,"222.6",
Mon 08/12/2025 14:30,"258.84",
Mon 08/12/2025 15:00,"351.84",
Mon 08/12/2025 15:30,"125.04",
Mon 08/12/2025 16:00,"51.84",
Mon 08/12/2025 16:30,"0.72",
Mon 08/12/2025 17:00,"0",
Mon 08/12/2025 17:30,"0",
Mon 08/12/2025 18:00,"0",
Mon 08/12/2025 18:30,"0",
Mon 08/12/2025 19:00,"0",
Mon 08/12/2025 19:30,"0",
Mon 08/12/2025 20:00,"0",
Mon 08/12/2025 20:30,"0",
Mon 08/12/2025 21:00,"0",
Mon 08/12/2025 21:30,"0",
Mon 08/12/2025 22:00,"0",
Mon 08/12/2025 22:30,"0",
Mon 08/12/2025 23:00,"0",
Mon 08/12/2025 23:30,"0",
Tue 09/12/2025 00:00,"0",
