Timeline Report

Created,"Created: 18/02/2026 at 18:35:56"
Run On,"Point Lane"
Utility,"Electricity"
From,"21/12/2025"
To,"21/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Sun 21/12/2025 00:30,"4.56",
Sun 21/12/2025 01:00,"3.6",
Sun 21/12/2025 01:30,"4.44",
Sun 21/12/2025 02:00,"4.2",
Sun 21/12/2025 02:30,"3.84",
Sun 21/12/2025 03:00,"4.56",
Sun 21/12/2025 03:30,"3.48",
Sun 21/12/2025 04:00,"4.56",
Sun 21/12/2025 04:30,"4.32",
Sun 21/12/2025 05:00,"3.84",
Sun 21/12/2025 05:30,"4.56",
Sun 21/12/2025 06:00,"4.56",
Sun 21/12/2025 06:30,"3.6",
Sun 21/12/2025 07:00,"4.56",
Sun 21/12/2025 07:30,"4.56",
Sun 21/12/2025 08:00,"3.6",
Sun 21/12/2025 08:30,"3.96",
Sun 21/12/2025 09:00,"46.2",
Sun 21/12/2025 09:30,"165.6",
Sun 21/12/2025 10:00,"266.76",
Sun 21/12/2025 10:30,"351.72",
Sun 21/12/2025 11:00,"470.88",
Sun 21/12/2025 11:30,"688.55",
Sun 21/12/2025 12:00,"679.2",
Sun 21/12/2025 12:30,"717.95",
Sun 21/12/2025 13:00,"551.9",
Sun 21/12/2025 13:30,"398.16",
Sun 21/12/2025 14:00,"268.2",
Sun 21/12/2025 14:30,"312.72",
Sun 21/12/2025 15:00,"243.72",
Sun 21/12/2025 15:30,"101.64",
Sun 21/12/2025 16:00,"48.6",
Sun 21/12/2025 16:30,"4.44",
Sun 21/12/2025 17:00,"5.64",
Sun 21/12/2025 17:30,"3.48",
Sun 21/12/2025 18:00,"4.44",
Sun 21/12/2025 18:30,"3.48",
Sun 21/12/2025 19:00,"4.56",
Sun 21/12/2025 19:30,"4.08",
Sun 21/12/2025 20:00,"3.96",
Sun 21/12/2025 20:30,"4.56",
Sun 21/12/2025 21:00,"3.48",
Sun 21/12/2025 21:30,"4.56",
Sun 21/12/2025 22:00,"3.72",
Sun 21/12/2025 22:30,"4.32",
Sun 21/12/2025 23:00,"4.2",
Sun 21/12/2025 23:30,"3.84",
Mon 22/12/2025 00:00,"4.56",
