Timeline Report

Created,"Created: 18/02/2026 at 21:22:48"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"18/02/2026"
To,"18/02/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Wed 18/02/2026 00:30,"0",
Wed 18/02/2026 01:00,"0",
Wed 18/02/2026 01:30,"0",
Wed 18/02/2026 02:00,"0",
Wed 18/02/2026 02:30,"0",
Wed 18/02/2026 03:00,"0",
Wed 18/02/2026 03:30,"-",
Wed 18/02/2026 04:00,"-",
Wed 18/02/2026 04:30,"-",
Wed 18/02/2026 05:00,"-",
Wed 18/02/2026 05:30,"-",
Wed 18/02/2026 06:00,"-",
Wed 18/02/2026 06:30,"-",
Wed 18/02/2026 07:00,"-",
Wed 18/02/2026 07:30,"-",
Wed 18/02/2026 08:00,"-",
Wed 18/02/2026 08:30,"-",
Wed 18/02/2026 09:00,"-",
Wed 18/02/2026 09:30,"-",
Wed 18/02/2026 10:00,"-",
Wed 18/02/2026 10:30,"-",
Wed 18/02/2026 11:00,"-",
Wed 18/02/2026 11:30,"-",
Wed 18/02/2026 12:00,"-",
Wed 18/02/2026 12:30,"-",
Wed 18/02/2026 13:00,"-",
Wed 18/02/2026 13:30,"-",
Wed 18/02/2026 14:00,"-",
Wed 18/02/2026 14:30,"-",
Wed 18/02/2026 15:00,"-",
Wed 18/02/2026 15:30,"-",
Wed 18/02/2026 16:00,"-",
Wed 18/02/2026 16:30,"-",
Wed 18/02/2026 17:00,"-",
Wed 18/02/2026 17:30,"-",
Wed 18/02/2026 18:00,"-",
Wed 18/02/2026 18:30,"-",
Wed 18/02/2026 19:00,"-",
Wed 18/02/2026 19:30,"-",
Wed 18/02/2026 20:00,"-",
Wed 18/02/2026 20:30,"-",
Wed 18/02/2026 21:00,"-",
Wed 18/02/2026 21:30,"-",
Wed 18/02/2026 22:00,"-",
Wed 18/02/2026 22:30,"-",
Wed 18/02/2026 23:00,"-",
Wed 18/02/2026 23:30,"-",
Thu 19/02/2026 00:00,"-",
