Timeline Report

Created,"Created: 18/02/2026 at 20:49:00"
Run On,"HH 2100042103940 - K21W001099"
Utility,"Electricity"
From,"10/01/2026"
To,"10/01/2026"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Active Power (kW),
Sat 10/01/2026 00:30,"0",
Sat 10/01/2026 01:00,"0",
Sat 10/01/2026 01:30,"0",
Sat 10/01/2026 02:00,"0",
Sat 10/01/2026 02:30,"0",
Sat 10/01/2026 03:00,"0",
Sat 10/01/2026 03:30,"0",
Sat 10/01/2026 04:00,"0",
Sat 10/01/2026 04:30,"0",
Sat 10/01/2026 05:00,"0",
Sat 10/01/2026 05:30,"0",
Sat 10/01/2026 06:00,"0",
Sat 10/01/2026 06:30,"0",
Sat 10/01/2026 07:00,"0",
Sat 10/01/2026 07:30,"0",
Sat 10/01/2026 08:00,"0",
Sat 10/01/2026 08:30,"11.76",
Sat 10/01/2026 09:00,"159.36",
Sat 10/01/2026 09:30,"714.24",
Sat 10/01/2026 10:00,"1376.4",
Sat 10/01/2026 10:30,"1955.5",
Sat 10/01/2026 11:00,"2425.2",
Sat 10/01/2026 11:30,"2901.8",
Sat 10/01/2026 12:00,"3149.5",
Sat 10/01/2026 12:30,"1928.4",
Sat 10/01/2026 13:00,"2808.3",
Sat 10/01/2026 13:30,"2398.8",
Sat 10/01/2026 14:00,"1184.6",
Sat 10/01/2026 14:30,"939.66",
Sat 10/01/2026 15:00,"1225.9",
Sat 10/01/2026 15:30,"603.14",
Sat 10/01/2026 16:00,"489.84",
Sat 10/01/2026 16:30,"107.04",
Sat 10/01/2026 17:00,"0.48",
Sat 10/01/2026 17:30,"0",
Sat 10/01/2026 18:00,"0",
Sat 10/01/2026 18:30,"0",
Sat 10/01/2026 19:00,"0",
Sat 10/01/2026 19:30,"0",
Sat 10/01/2026 20:00,"0",
Sat 10/01/2026 20:30,"0",
Sat 10/01/2026 21:00,"0",
Sat 10/01/2026 21:30,"0",
Sat 10/01/2026 22:00,"0",
Sat 10/01/2026 22:30,"0",
Sat 10/01/2026 23:00,"0",
Sat 10/01/2026 23:30,"0",
Sun 11/01/2026 00:00,"0",
