Timeline Report

Created,"Created: 18/02/2026 at 18:00:22"
Run On,"Point Lane"
Utility,"Electricity"
From,"03/12/2025"
To,"03/12/2025"
Timezone,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London + DST"

Period,Electricity Consumption,
Wed 03/12/2025 00:30,"4.32",
Wed 03/12/2025 01:00,"3.72",
Wed 03/12/2025 01:30,"4.32",
Wed 03/12/2025 02:00,"4.44",
Wed 03/12/2025 02:30,"4.08",
Wed 03/12/2025 03:00,"3.84",
Wed 03/12/2025 03:30,"4.56",
Wed 03/12/2025 04:00,"4.56",
Wed 03/12/2025 04:30,"4.08",
Wed 03/12/2025 05:00,"3.84",
Wed 03/12/2025 05:30,"4.44",
Wed 03/12/2025 06:00,"4.44",
Wed 03/12/2025 06:30,"3.84",
Wed 03/12/2025 07:00,"4.2",
Wed 03/12/2025 07:30,"4.44",
Wed 03/12/2025 08:00,"3.96",
Wed 03/12/2025 08:30,"2.28",
Wed 03/12/2025 09:00,"2.04",
Wed 03/12/2025 09:30,"3.6",
Wed 03/12/2025 10:00,"4.32",
Wed 03/12/2025 10:30,"4.32",
Wed 03/12/2025 11:00,"29.76",
Wed 03/12/2025 11:30,"227.52",
Wed 03/12/2025 12:00,"729.8",
Wed 03/12/2025 12:30,"1311",
Wed 03/12/2025 13:00,"1255.35",
Wed 03/12/2025 13:30,"1018.3",
Wed 03/12/2025 14:00,"476.79",
Wed 03/12/2025 14:30,"49.68",
Wed 03/12/2025 15:00,"4.2",
Wed 03/12/2025 15:30,"3.36",
Wed 03/12/2025 16:00,"3.6",
Wed 03/12/2025 16:30,"3.96",
Wed 03/12/2025 17:00,"3.72",
Wed 03/12/2025 17:30,"3.84",
Wed 03/12/2025 18:00,"4.08",
Wed 03/12/2025 18:30,"3.72",
Wed 03/12/2025 19:00,"4.32",
Wed 03/12/2025 19:30,"3.48",
Wed 03/12/2025 20:00,"4.32",
Wed 03/12/2025 20:30,"3.48",
Wed 03/12/2025 21:00,"4.44",
Wed 03/12/2025 21:30,"3.48",
Wed 03/12/2025 22:00,"4.32",
Wed 03/12/2025 22:30,"4.44",
Wed 03/12/2025 23:00,"3.96",
Wed 03/12/2025 23:30,"4.08",
Thu 04/12/2025 00:00,"4.08",
